UUID,Site_Code,State_Key,District,Latitude,Longitude,Land_Use,Elevation_m,Slope_deg,Dist_to_Road_km,Pop_Density_sqkm,Land_Value_USD_sqm,Suitability_Score
655540DF,IN-ASH-8A18,IND,Ashoknagar,24.70827964359025,78.0155008420073,Commercial,448.05,1.36,5.99,339,3711.23,75.63
1CA1CED3,IN-ASH-D646,IND,Ashoknagar,24.272895147948518,77.92916218800606,Industrial,110.24,4.26,3.05,6854,8915.02,71.11
5B1A5E86,IN-ASH-DD76,IND,Ashoknagar,24.825259713887956,77.98090492644403,Commercial,109.6,5.28,5.67,654,4009.37,79.33
5399C70A,IN-ASH-9A9B,IND,Ashoknagar,24.671840753020334,78.05932058715469,Industrial,617.5,1.6,7.73,823,3193.54,42.15
DBA0FCDD,IN-ASH-26C7,IND,Ashoknagar,24.326122764061914,77.82084523896327,Industrial,378.99,5.6,2.44,100,7311.6,84.26
1C234231,IN-ASH-B657,IND,Ashoknagar,24.50263758643079,77.80073854275012,Agricultural,133.13,7.45,11.16,737,2351.58,29.87
AFDC8206,IN-ASH-52B8,IND,Ashoknagar,24.79565437564674,77.71516799449125,Commercial,7.86,2.06,7.63,1577,3527.07,64.48
D7ADF9B7,IN-ASH-8455,IND,Ashoknagar,24.685250776006804,78.03560528405585,Industrial,799.83,6.3,3.06,2347,7090.92,63.75
8329E7DA,IN-ASH-AB3F,IND,Ashoknagar,24.49911767303259,78.22722493408955,Agricultural,702.33,7.04,1.61,2186,10449.61,92.22
934CFCFB,IN-ASH-823B,IND,Ashoknagar,24.73730331245196,77.66763101449614,Agricultural,284.27,0.0,1.63,2358,10461.93,78.49
DAF90D77,IN-ASH-65F2,IND,Ashoknagar,24.472000077320573,77.63140092769471,Industrial,540.85,6.06,11.69,1128,2420.75,54.93
3FEAD154,IN-ASH-1F83,IND,Ashoknagar,24.42493872293421,78.13769956160145,Commercial,289.84,4.93,6.66,486,3459.51,70.87
5FC19D16,IN-ASH-9AC5,IND,Ashoknagar,24.484102405654895,78.03448905235723,Residential,185.65,4.97,11.19,440,2226.94,48.46
C68CBE83,IN-ASH-20E1,IND,Ashoknagar,24.54779680583972,78.07104882902269,Agricultural,729.21,4.17,1.61,329,9710.9,89.5
06F927DB,IN-ASH-28F5,IND,Ashoknagar,24.626223639536818,77.62893786250663,Residential,660.12,2.75,4.75,1042,4767.6,85.84
93D138D7,IN-ASH-907C,IND,Ashoknagar,24.569694006562756,77.57638923701282,Agricultural,152.91,4.95,0.76,640,14470.31,71.34
DC57B0CF,IN-ASH-91C2,IND,Ashoknagar,24.47514001954981,77.61846499650466,Commercial,1251.14,3.5,2.49,1756,7868.63,82.04
10E0A8F3,IN-RAI-58A1,IND,Raisen,23.26566371160039,77.83020962051111,Commercial,405.47,1.1,6.13,239,3601.88,56.05
FA94FDCB,IN-RAI-AAE1,IND,Raisen,23.275213196662705,78.29508660690914,Commercial,325.31,3.8,2.83,212,6605.14,94.69
B08DDC20,IN-RAI-1A33,IND,Raisen,23.0854808138784,77.51694915423242,Commercial,281.1,2.12,6.63,694,3556.47,49.93
39FAB45C,IN-RAI-8B7C,IND,Raisen,23.420249471478822,77.82607418618977,Agricultural,532.4,2.55,0.99,635,12801.27,81.77
B2610531,IN-RAI-9CB5,IND,Raisen,23.56326821106689,78.45211369776443,Industrial,468.1,7.77,2.89,4538,8248.22,77.81
8358C634,IN-RAI-5D61,IND,Raisen,23.08629850400595,78.73912010179735,Commercial,763.46,1.01,4.58,1207,4966.45,75.54
A5F1E318,IN-RAI-545A,IND,Raisen,23.49639231386947,78.38287349099426,Agricultural,506.32,2.29,3.33,558,6001.97,78.74
FBC180A2,IN-RAI-A422,IND,Raisen,23.028372424797983,78.34244361974555,Residential,1365.27,2.76,5.47,1440,4439.73,49.01
0C582351,IN-RAI-F18E,IND,Raisen,23.31185782592158,78.57734608043349,Commercial,550.42,0.17,4.23,211,4860.31,63.04
6043294E,IN-RAI-E296,IND,Raisen,23.3648123484253,78.09586307382808,Commercial,800.44,1.42,6.11,800,3838.4,51.12
15C172EA,IN-RAI-116E,IND,Raisen,23.46524383589975,78.56716452358376,Residential,363.86,3.46,3.07,100,6188.74,90.25
C8F3EC8E,IN-RAI-7393,IND,Raisen,23.453425697866912,78.3325125010589,Agricultural,629.1,0.19,4.2,383,4957.6,90.2
9122F29F,IN-CHH-A999,IND,Chhindwara,21.799387796770652,79.12352476734685,Agricultural,563.63,4.26,2.93,133,6419.79,87.49
465012C8,IN-CHH-68B1,IND,Chhindwara,21.930393829940456,79.06754401057485,Agricultural,120.89,1.18,12.45,148,1917.89,53.23
FA202DEF,IN-CHH-CEB5,IND,Chhindwara,22.58146658387303,78.63890612886827,Commercial,890.16,4.28,5.82,740,3962.53,53.08
470EBE4B,IN-CHH-805C,IND,Chhindwara,21.77907315508842,78.52721098476633,Residential,252.72,4.51,1.87,2134,9567.71,79.62
42E255EA,IN-CHH-F56B,IND,Chhindwara,21.857148414128694,78.89236526992646,Commercial,580.79,6.57,2.4,357,7487.69,88.49
343EBDC9,IN-CHH-64B1,IND,Chhindwara,21.972660774667425,78.73189986572748,Commercial,915.19,8.31,8.58,838,2945.37,46.09
2321E7B0,IN-CHH-FE86,IND,Chhindwara,22.686535576733277,79.26445481133813,Commercial,167.61,4.85,1.04,429,12449.8,89.38
BDCA8AC1,IN-CHH-64C9,IND,Chhindwara,21.90955757795986,78.81966459300857,Residential,594.76,0.36,0.7,842,15035.74,85.52
C3449330,IN-CHH-242F,IND,Chhindwara,21.896379709485398,78.59330091199695,Commercial,748.47,2.44,9.45,1196,2870.52,40.88
755FC74E,IN-CHH-7ECC,IND,Chhindwara,22.321254453049782,78.38938004169488,Agricultural,344.4,6.58,0.22,437,20598.0,68.57
4496BA7F,IN-CHH-C291,IND,Chhindwara,22.199298182704762,79.20097384201955,Commercial,844.12,6.98,1.21,1274,11820.49,70.67
18A57C1C,IN-CHH-9E27,IND,Chhindwara,22.624860686397195,78.53394292584942,Agricultural,566.57,2.83,0.84,412,13768.47,80.89
758323BE,IN-CHH-2A76,IND,Chhindwara,22.726383308446525,79.14079986157235,Industrial,281.46,3.31,2.46,273,7329.84,80.49
3D9CEA80,IN-BET-61FF,IND,Betul,21.44206541210727,77.48318923438228,Commercial,893.87,2.83,4.66,706,4701.26,68.2
7DE70F7D,IN-BET-BED3,IND,Betul,21.98226864603247,77.51161063232908,Agricultural,329.29,8.07,3.02,466,6402.08,84.66
64708E8F,IN-BET-B6A1,IND,Betul,21.96534085459436,77.81010402159698,Industrial,423.14,1.15,12.24,241,1984.46,50.0
029BD4FC,IN-BET-5BA3,IND,Betul,21.414512518628765,77.92464777238148,Agricultural,473.77,2.74,3.1,1890,6851.1,81.14
C38E9E06,IN-BET-6380,IND,Betul,21.877885286587606,77.53033594265547,Agricultural,842.84,6.19,3.18,100,6017.62,63.87
173244A4,IN-BET-0760,IND,Betul,21.630459881362135,78.09202057416316,Agricultural,725.8,5.94,4.55,812,4828.32,83.75
BD2CEA1C,IN-BET-4EC0,IND,Betul,22.22194591415136,77.99203615535448,Residential,1072.34,0.36,7.56,504,3123.21,40.78
0DC2645A,IN-BET-1AE9,IND,Betul,21.66951573312179,77.88683205559998,Residential,395.17,3.86,7.03,1009,3516.1,43.89
EB30F6B5,IN-BET-9555,IND,Betul,21.683020186743093,77.70420376566173,Residential,94.18,1.94,7.63,3017,4105.48,48.92
4B85DA19,IN-BET-FD04,IND,Betul,22.187471217291836,78.14217270155635,Industrial,594.34,9.19,1.23,184,11295.98,81.64
FE014548,IN-HOS-D0BC,IND,Hoshangabad,22.858258854254988,78.32647661222605,Agricultural,541.49,2.52,4.87,543,4479.33,86.19
42CACBDD,IN-HOS-FC48,IND,Hoshangabad,22.44801027613886,78.31269627938062,Agricultural,89.94,2.96,2.29,100,7638.09,91.01
FDA75E69,IN-HOS-0CD5,IND,Hoshangabad,22.28279066767958,77.50145266695239,Industrial,715.34,2.68,1.96,797,8772.98,68.59
10D35CDB,IN-HOS-22CD,IND,Hoshangabad,22.584180925643086,78.420929618547,Commercial,853.26,1.06,3.23,375,6064.76,81.03
C457DE0B,IN-HOS-55C5,IND,Hoshangabad,22.76174124270115,78.26615448456916,Commercial,887.06,6.45,0.69,2522,15792.43,75.48
DF8B38A5,IN-HOS-C90C,IND,Hoshangabad,22.661866791004883,78.54990170863768,Industrial,979.56,4.01,0.72,1717,15215.98,72.62
